Cat	Countries	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Penalty	Health	ITA
Students	Ireland	0.024	0.361	0.606	0.361	0.474	0.591	0.685	0.914	0.7214497	0.4371421
Students	Iceland	0.000	0.510	0.482	0.506	0.626	0.603	0.773	0.963	0.8602127	0.5245268
Students	Israel	0.047	0.079	0.316	0.450	0.403	0.141	0.595	0.903	0.70544	0.3087558
Students	Italy	0.134	0.599	0.823	0.583	0.307	0.493	0.587	0.926	0.5422618	0.4697967
Students	Japan	0.102	0.667	0.728	0.581	0.536	0.515	0.580	0.975	0.8093204	0.5505528
Students	Korea	0.087	0.615	0.611	0.601	0.685	0.479	0.589	0.975	0.616787	0.5219718
Students	Lithuania	0.000	0.690	0.777	0.382	0.537	0.326	0.564	0.963	0.2327156	0.4224114
Students	Luxembourg	0.000	0.571	0.462	0.342	0.527	0.838	0.736	0.988	0.9316679	0.5439183
Students	Latvia	0.000	0.357	0.426	0.530	0.531	0.313	0.526	0.951	0.0678995	0.3268571
Students	Mexico	0.008	0.458	0.408	0.426	0.217	0.169	0.276	0.951	0.1622078	0.2524735
Students	Netherlands	0.094	0.332	0.720	0.465	0.616	0.574	0.771	0.938	0.9369114	0.528808
Students	Norway	0.024	0.673	0.686	0.601	0.779	0.513	0.795	0.950	0.896691	0.590143
Students	New Zealand	0.031	0.355	0.692	0.525	0.721	0.682	0.726	0.926	0.8414266	0.5296179
Students	Poland	0.016	0.729	0.436	0.462	0.392	0.365	0.582	1.000	0.4402953	0.4277102
Students	Portugal	0.031	0.547	0.841	0.567	0.648	0.552	0.548	0.951	0.5229808	0.505721
Students	Slovak Republic	0.000	0.543	0.724	0.504	0.442	0.290	0.535	1.000	0.4779854	0.4396285
Students	Slovenia	0.008	0.466	0.716	0.464	0.475	0.362	0.662	0.938	0.7957329	0.4632004
Students	Sweden	0.079	0.417	0.803	0.513	0.738	0.606	0.771	0.903	0.8369284	0.5378981
Students	Turkey	0.008	0.696	0.450	0.194	0.293	0.209	0.352	0.951	0.6008089	0.3330237
Students	United States	1.000	0.381	0.643	0.569	0.711	0.531	0.764	0.914	0.7058882	0.606336
Start-ups	Australia	0.170	0.171	0.702	0.619	0.414	0.619	0.746	0.962	0.8899286	0.5205628
Start-ups	Austria	0.223	0.283	0.405	0.646	0.398	0.493	0.635	0.975	0.8053425	0.4737092
Start-ups	Canada	0.270	0.498	0.740	0.707	0.484	0.645	0.726	0.975	0.7729352	0.5901348
Start-ups	Chile	0.139	0.711	0.331	0.420	0.132	0.383	0.253	0.974	0.2904202	0.3238807
Start-ups	Germany	0.150	0.416	0.435	0.689	0.592	0.469	0.690	0.915	0.8306618	0.4886529
Start-ups	Denmark	0.135	0.214	0.342	0.703	0.470	0.636	0.712	0.951	0.881381	0.4864625
Start-ups	Spain	0.123	0.441	0.476	0.469	0.385	0.651	0.523	1.012	0.6640356	0.4721325
Start-ups	Estonia	0.214	0.358	0.336	0.489	0.416	0.312	0.601	0.974	0.4363737	0.3852489
Start-ups	Finland	0.161	0.228	0.407	0.664	0.484	0.566	0.727	0.975	0.7640534	0.4876172
Start-ups	France	0.201	0.381	0.521	0.652	0.497	0.618	0.607	1.051	0.8266667	0.5653495
Start-ups	United Kingdom	0.240	0.405	0.424	0.775	0.441	0.603	0.653	0.975	0.7707247	0.5255811
Start-ups	Ireland	0.365	0.484	0.439	0.661	0.349	0.711	0.645	0.927	0.7405145	0.5092219
Start-ups	Israel	0.161	0.338	0.393	0.154	0.400	0.288	0.527	0.963	0.7056627	0.3569558
Start-ups	Italy	0.134	0.347	0.447	0.565	0.287	0.527	0.503	0.963	0.5349995	0.4025516
Start-ups	Japan	0.151	0.312	0.362	0.378	0.536	0.255	0.515	0.999	0.830138	0.4172513
Start-ups	Korea	0.199	0.413	0.457	0.317	0.642	0.214	0.527	0.999	0.5915763	0.4198772
Start-ups	Lithuania	0.196	0.619	0.467	0.546	0.400	0.497	0.473	0.988	0.1778937	0.416685
Start-ups	Latvia	0.202	0.332	0.381	0.424	0.317	0.452	0.423	0.987	0	0.312404
Start-ups	Netherlands	0.206	0.429	0.409	0.616	0.411	0.570	0.751	0.975	0.9622001	0.5306897
Start-ups	New Zealand	0.135	0.192	0.564	0.627	0.419	0.619	0.687	0.951	0.8581057	0.4873652
Start-ups	Poland	0.180	0.529	0.384	0.504	0.254	0.479	0.526	0.999	0.427502	0.4101367
Start-ups	Portugal	0.197	0.428	0.548	0.522	0.498	0.742	0.465	0.988	0.4931501	0.4805594
Start-ups	Sweden	0.143	0.262	0.561	0.592	0.562	0.626	0.744	0.951	0.8545569	0.516192
Start-ups	United States	0.706	0.291	0.370	0.470	0.670	0.529	0.709	1.000	0.7161896	0.557816
